"paper_id","mechanism_cluster","signal_source","signal_available_when","affected_action_or_decision","use_mode","causal_status","feedback_channels","validation_feedback","main_assumption","failure_boundary","reusable_assets","evidence_access","evidence_weight","comparison_claim_type","source_locator"
"ASE2025_understanding-software-engineering-agents-a-study-of-thought-action-resu","FAILURE_LOOPS_RECOVERY","parsed thought-action-result traces and repeated error/action patterns","after completed runs","none; diagnoses loops and process errors","offline_analysis","correlational","trajectory_trace|benchmark_tests|manual_coding","benchmark tests and manual trajectory coding","observable trace text reflects operative failure process","three agents; heterogeneous logs; difficulty confounding","parsers, normalized traces, taxonomy","full_text","high","agent_inference","cards/ASE2025_understanding-software-engineering-agents-a-study-of-thought-action-resu.yaml"
"ICSE2026_beyond-final-code-a-process-oriented-error-analysis-of-software-developm","FAILURE_LOOPS_RECOVERY","Python errors in agent observations and benchmark-test phase","after completed runs and evaluation","none; diagnoses repeated and cross-phase errors","offline_analysis","correlational","trajectory_trace|execution_errors|benchmark_tests|manual_review","benchmark tests and manual unresolved-case review","extracted errors explain agent progress or failure","many failures have no extracted error; agent-specific parsing","trace parsers, error taxonomy, study data","full_text","high","agent_inference","cards/ICSE2026_beyond-final-code-a-process-oriented-error-analysis-of-software-developm.yaml"
"FSE2026_empowering-autonomous-debugging-agents-with-efficient-dynamic-analysis","FAILURE_LOOPS_RECOVERY","Frame Lifetime Trace: calls, arguments, returns, frame relations","during live repair after re-execution","localization, diagnosis, breakpoint/trace query, patch","online_use","component_intervention","execution|dynamic_analysis|benchmark_tests","reproduction and repository repair tests","captured execution reaches the causally relevant state","runtime overhead, Python scope, unreproduced or silent faults","ADI/FramePilot tools, traces, benchmark results","full_text","high","agent_inference","cards/FSE2026_empowering-autonomous-debugging-agents-with-efficient-dynamic-analysis.yaml"
"ISSTA2026_understanding-automated-program-repair-agents-through-the-lens-of-tracea","FAILURE_LOOPS_RECOVERY","normalized five-agent workflows, reproducers, selected tests, patches, tools","after trajectories and patches exist","none; motivates reproduction/test/tool interventions","offline_analysis","correlational_with_targeted_factor_study","trajectory_trace|benchmark_tests|patch_analysis","developer tests, reproducer triggers, gold regression tests","cross-agent trace normalization and tests approximate semantic success","subset analyses; architecture/backbone confounding; no deployed recovery policy","normalized traces and analysis artifacts","full_text","high","agent_inference","cards/ISSTA2026_understanding-automated-program-repair-agents-through-the-lens-of-tracea.yaml"
"ISSTA2026_agentinspect-diagnosing-behavioral-failures-in-artificial-intelligence-a","FAILURE_LOOPS_RECOVERY","coverage inputs plus real or injected abnormal tool responses","during test execution; labels after trajectory","test generation and failure diagnosis; no recovery action","offline_analysis","causal_fault_injection_only","tool_fault_injection|trajectory_trace|manual_labels","manual labels, TP/FP/FN tables, Cohen kappa","six labels cover consequential behavior and synthetic faults resemble real faults","LangChain/GitHub benchmark; manuscript unavailable","35 agents, trajectories, injectors, labels, prompts","artifact_plus_official_abstract","moderate","agent_inference","cards/ISSTA2026_agentinspect-diagnosing-behavioral-failures-in-artificial-intelligence-a.yaml"
"ICSE2026_tracecoder-a-trace-driven-multi-agent-framework-for-automated-debugging-","FAILURE_LOOPS_RECOVERY","instrumented runtime values, failure analysis, task-local failed lessons, passed-test counts","after every repair attempt","repair plan, instrumentation, accept/continue/rollback","online_use","component_ablation","dynamic_analysis|benchmark_tests|task_local_memory","unit tests, instrumentation preservation, CrossHair equivalence","passed-test count is monotone quality and probes preserve behavior","function/class Python; weak tests; silent wrong answers","TraceCoder code, prompts, evaluation scripts","full_text","high","agent_inference","cards/ICSE2026_tracecoder-a-trace-driven-multi-agent-framework-for-automated-debugging-.yaml"
"ICSE2026_agentic-predicates-reasoning-for-directed-fuzzing","PLANNING_ACTION_TOOL_STOPPING","code/reference graphs, inferred predicates, symbolic counterexamples","before fuzzing during predicate synthesis","predicate revision and instrumentation target","offline_preprocessing","component_ablation","static_analysis|symbolic_execution|fuzzing_feedback","compilation, symbolic relaxation checks, fuzzing outcomes","formal encoding and relaxation capture vulnerability reachability","only formalizable predicates; LLM not online with fuzzer","Locus agent, predicates, instrumentation pipeline","full_text","high","agent_inference","cards/ICSE2026_agentic-predicates-reasoning-for-directed-fuzzing.yaml"
"FSE2026_agentic-verification-of-software-systems","PLANNING_ACTION_TOOL_STOPPING","typed Rocq proof state, tactic errors, queried context, proof history","after each tactic","next tactic, context search, local repair, branch stop","online_use","component_ablation","formal_checker|proof_state|retrieval","Rocq kernel proof checking","checked theorem matches intended property and retrieved proof transfers","formal-domain only; statement/specification errors remain","AutoRocq, proof traces, histories","full_text","high","agent_inference","cards/FSE2026_agentic-verification-of-software-systems.yaml"
"FSE2026_event-b-agent-towards-llm-agent-for-formal-model-synthesis-and-repair","PLANNING_ACTION_TOOL_STOPPING","compiler errors, proof obligations, bounded counterexamples, proof-state category","after model/proof attempt","model/proof/joint/retrieval repair and replay/stop","online_use","component_ablation","formal_checker|model_checker|proof_state","Event-B proof discharge and replayed prior proofs","bounded checks and proof discharge encode intended semantics","formalization errors, bounded model checking, category misclassification","Event-B agent, action taxonomy, repair traces","full_text","high","agent_inference","cards/FSE2026_event-b-agent-towards-llm-agent-for-formal-model-synthesis-and-repair.yaml"
"ISSTA2026_to-run-or-not-to-run-analyzing-the-cost-effectiveness-of-code-execution-","PLANNING_ACTION_TOOL_STOPPING","test/runtime feedback under five controlled access modes","during repair when execution is allowed","whether/when to execute, edit, validate, or stop","online_use_evaluated_offline","controlled_intervention","execution|benchmark_tests|trajectory_trace","official SWE-bench tests, paired transitions, localization and cost","execution restriction changes only feedback access; official tests represent success","200 tasks; mode changes planning; most equivalence tests underpowered","7,745 traces, 3,000 controlled runs, analysis data","full_text","high","agent_inference","cards/ISSTA2026_to-run-or-not-to-run-analyzing-the-cost-effectiveness-of-code-execution-.yaml"
