paper_id,mechanism_cluster,signal_source,signal_available_when,use_mode,affected_action_or_decision,causal_status,validation_feedback,main_assumption,failure_boundary,reusable_assets,comparison_claim_type,source_locator
"ASE2025_understanding-software-engineering-agents-a-study-of-thought-action-resu","FAILURE_LOOPS_RECOVERY","parsed thought-action-result traces and repeated error/action patterns","after completed runs","offline_analysis","none; diagnoses loops and process errors","correlational","benchmark tests and manual trajectory coding","observable trace text reflects operative failure process","three agents; heterogeneous logs; difficulty confounding","parsers, normalized traces, taxonomy","agent_inference","cards/ASE2025_understanding-software-engineering-agents-a-study-of-thought-action-resu.yaml"
"ICSE2026_beyond-final-code-a-process-oriented-error-analysis-of-software-developm","FAILURE_LOOPS_RECOVERY","Python errors in agent observations and benchmark-test phase","after completed runs and evaluation","offline_analysis","none; diagnoses repeated and cross-phase errors","correlational","benchmark tests and manual unresolved-case review","extracted errors explain agent progress or failure","many failures have no extracted error; agent-specific parsing","trace parsers, error taxonomy, study data","agent_inference","cards/ICSE2026_beyond-final-code-a-process-oriented-error-analysis-of-software-developm.yaml"
"FSE2026_empowering-autonomous-debugging-agents-with-efficient-dynamic-analysis","FAILURE_LOOPS_RECOVERY","Frame Lifetime Trace: calls, arguments, returns, frame relations","during live repair after re-execution","online_use","localization, diagnosis, breakpoint/trace query, patch","component_intervention","reproduction and repository repair tests","captured execution reaches the causally relevant state","runtime overhead, Python scope, unreproduced or silent faults","ADI/FramePilot tools, traces, benchmark results","agent_inference","cards/FSE2026_empowering-autonomous-debugging-agents-with-efficient-dynamic-analysis.yaml"
"ISSTA2026_understanding-automated-program-repair-agents-through-the-lens-of-tracea","FAILURE_LOOPS_RECOVERY","normalized five-agent workflows, reproducers, selected tests, patches, tools","after trajectories and patches exist","offline_analysis","none; motivates reproduction/test/tool interventions","correlational_with_targeted_factor_study","developer tests, reproducer triggers, gold regression tests","cross-agent trace normalization and tests approximate semantic success","subset analyses; architecture/backbone confounding; no deployed recovery policy","normalized traces and analysis artifacts","agent_inference","cards/ISSTA2026_understanding-automated-program-repair-agents-through-the-lens-of-tracea.yaml"
"ISSTA2026_agentinspect-diagnosing-behavioral-failures-in-artificial-intelligence-a","FAILURE_LOOPS_RECOVERY","coverage inputs plus real or injected abnormal tool responses","during test execution; labels after trajectory","offline_analysis","test generation and failure diagnosis; no recovery action","causal_fault_injection_only","manual labels, TP/FP/FN tables, Cohen kappa","six labels cover consequential behavior and synthetic faults resemble real faults","LangChain/GitHub benchmark; manuscript unavailable","35 agents, trajectories, injectors, labels, prompts","agent_inference","cards/ISSTA2026_agentinspect-diagnosing-behavioral-failures-in-artificial-intelligence-a.yaml"
"ICSE2026_tracecoder-a-trace-driven-multi-agent-framework-for-automated-debugging-","FAILURE_LOOPS_RECOVERY","instrumented runtime values, failure analysis, task-local failed lessons, passed-test counts","after every repair attempt","online_use","repair plan, instrumentation, accept/continue/rollback","component_ablation","unit tests, instrumentation preservation, CrossHair equivalence","passed-test count is monotone quality and probes preserve behavior","function/class Python; weak tests; silent wrong answers","TraceCoder code, prompts, evaluation scripts","agent_inference","cards/ICSE2026_tracecoder-a-trace-driven-multi-agent-framework-for-automated-debugging-.yaml"
"ICSE2026_agentic-predicates-reasoning-for-directed-fuzzing","PLANNING_ACTION_TOOL_STOPPING","code/reference graphs, inferred predicates, symbolic counterexamples","before fuzzing during predicate synthesis","offline_preprocessing","predicate revision and instrumentation target","component_ablation","compilation, symbolic relaxation checks, fuzzing outcomes","formal encoding and relaxation capture vulnerability reachability","only formalizable predicates; LLM not online with fuzzer","Locus agent, predicates, instrumentation pipeline","agent_inference","cards/ICSE2026_agentic-predicates-reasoning-for-directed-fuzzing.yaml"
"FSE2026_agentic-verification-of-software-systems","PLANNING_ACTION_TOOL_STOPPING","typed Rocq proof state, tactic errors, queried context, proof history","after each tactic","online_use","next tactic, context search, local repair, branch stop","component_ablation","Rocq kernel proof checking","checked theorem matches intended property and retrieved proof transfers","formal-domain only; statement/specification errors remain","AutoRocq, proof traces, histories","agent_inference","cards/FSE2026_agentic-verification-of-software-systems.yaml"
"FSE2026_event-b-agent-towards-llm-agent-for-formal-model-synthesis-and-repair","PLANNING_ACTION_TOOL_STOPPING","compiler errors, proof obligations, bounded counterexamples, proof-state category","after model/proof attempt","online_use","model/proof/joint/retrieval repair and replay/stop","component_ablation","Event-B proof discharge and replayed prior proofs","bounded checks and proof discharge encode intended semantics","formalization errors, bounded model checking, category misclassification","Event-B agent, action taxonomy, repair traces","agent_inference","cards/FSE2026_event-b-agent-towards-llm-agent-for-formal-model-synthesis-and-repair.yaml"
"ISSTA2026_to-run-or-not-to-run-analyzing-the-cost-effectiveness-of-code-execution-","PLANNING_ACTION_TOOL_STOPPING","test/runtime feedback under five controlled access modes","during repair when execution is allowed","online_use_evaluated_offline","whether/when to execute, edit, validate, or stop","controlled_intervention","official SWE-bench tests, paired transitions, localization and cost","execution restriction changes only feedback access; official tests represent success","200 tasks; mode changes planning; most equivalence tests underpowered","7,745 traces, 3,000 controlled runs, analysis data","agent_inference","cards/ISSTA2026_to-run-or-not-to-run-analyzing-the-cost-effectiveness-of-code-execution-.yaml"
